ColorPallete,1
MarioPosition,50,400
World,3
-------------------- 1-4 End Fight
Pipe,0,450
BaseBlock,0,700
BaseBlock,0,650
BaseBlock,0,600
BaseBlock,0,550
BaseBlock,50,700
BaseBlock,50,650
BaseBlock,50,600
BaseBlock,50,550
StairBlock,100,550
StairBlock,150,550
StairBlock,200,550
StairBlock,250,550
StairBlock,300,550
StairBlock,350,550
StairBlock,400,550
StairBlock,450,550
StairBlock,500,550
StairBlock,550,550
StairBlock,600,550
StairBlock,650,550
StairBlock,700,550
StairBlock,750,550
StairBlock,800,550
StairBlock,850,550
Bowser,850,450
SmallCloud,100,200
SmallCloud,450,40
SmallCloud,780,60
StairBlock,900,550
StairBlock,950,550
StairBlock,1000,550
StairBlock,1050,550
StairBlock,1100,550
BaseBlock,1150,700
BaseBlock,1150,650
BaseBlock,1150,600
BaseBlock,1150,550
BaseBlock,1150,500
BaseBlock,1200,700
BaseBlock,1200,650
BaseBlock,1200,600
BaseBlock,1200,550
BaseBlock,1200,500
BaseBlock,1250,700
BaseBlock,1250,650
BaseBlock,1250,600
BaseBlock,1250,550
BaseBlock,1250,500
LongPipeDestination,1300,100,1,50,500
BaseBlock,1300,600
BaseBlock,1300,650
BaseBlock,1300,550
BaseBlock,1300,500
BaseBlock,1300,700
BaseBlock,1350,600
BaseBlock,1350,650
BaseBlock,1350,550
BaseBlock,1350,500
BaseBlock,1350,700
BaseBlock,1400,600
BaseBlock,1400,650
BaseBlock,1400,550
BaseBlock,1400,500
BaseBlock,1400,700
BaseBlock,1450,600
BaseBlock,1450,650
BaseBlock,1450,550
BaseBlock,1450,500
BaseBlock,1450,700
BaseBlock,1450,50
BaseBlock,1400,50
BaseBlock,1450,75
BaseBlock,1400,75
BaseBlock,1450,0
BaseBlock,1400,0
Sign,1600,100
